Date,Mean_Gauge,Discharge (cumecs),filename
2008-08-17,4.22,978.149,Inundation Boundary (17AUG2008 00 00 00 Value_0).tif
2006-08-01,4.22,2828.083,Inundation Boundary (01AUG2006 00 00 00 Value_0).tif
2006-09-16,4.225,1088.0,Inundation Boundary (16SEP2006 00 00 00 Value_0).tif
2003-07-25,4.225,3837.0,Inundation Boundary (25JUL2003 00 00 00 Value_0).tif
2005-07-23,4.23,898.012,Inundation Boundary (23JUL2005 00 00 00 Value_0).tif
2010-07-29,4.24,1288.564,Inundation Boundary (29JUL2010 00 00 00 Value_0).tif
2006-09-14,4.24,1122.0,Inundation Boundary (14SEP2006 00 00 00 Value_0).tif
2012-07-28,4.25,4715.483,Inundation Boundary (28JUL2012 00 00 00 Value_0).tif
2012-07-25,4.25,970.026,Inundation Boundary (25JUL2012 00 00 00 Value_0).tif
2010-08-10,4.26,836.611,Inundation Boundary (10AUG2010 00 00 00 Value_0).tif
2006-09-24,4.26,888.5,Inundation Boundary (24SEP2006 00 00 00 Value_0).tif
2009-09-17,4.26,959.632,Inundation Boundary (17SEP2009 00 00 00 Value_0).tif
2010-08-23,4.26,1102.859,Inundation Boundary (23AUG2010 00 00 00 Value_0).tif
2006-09-22,4.27,1284.0,Inundation Boundary (22SEP2006 00 00 00 Value_0).tif
2007-07-31,4.28,1198.121,Inundation Boundary (31JUL2007 00 00 00 Value_0).tif
2010-08-17,4.28,1832.799,Inundation Boundary (17AUG2010 00 00 00 Value_0).tif
2002-08-28,4.29,890.7,Inundation Boundary (28AUG2002 00 00 00 Value_0).tif
2012-08-04,4.29,827.0,Inundation Boundary (04AUG2012 00 00 00 Value_0).tif
2001-08-02,4.305,881.4,Inundation Boundary (02AUG2001 00 00 00 Value_0).tif
2010-08-05,4.31,1263.369,Inundation Boundary (05AUG2010 00 00 00 Value_0).tif
2010-09-18,4.34,1708.066,Inundation Boundary (18SEP2010 00 00 00 Value_0).tif
2005-09-26,4.34,991.769,Inundation Boundary (26SEP2005 00 00 00 Value_0).tif
2012-09-24,4.36,858.9,Inundation Boundary (24SEP2012 00 00 00 Value_0).tif
2003-08-28,4.36,1000.0,Inundation Boundary (28AUG2003 00 00 00 Value_0).tif
2004-08-31,4.37,1113.0,Inundation Boundary (31AUG2004 00 00 00 Value_0).tif
2009-09-09,4.375,2715.201,Inundation Boundary (09SEP2009 00 00 00 Value_0).tif
2002-09-17,4.39,1161.0,Inundation Boundary (17SEP2002 00 00 00 Value_0).tif
2008-07-02,4.39,1088.644,Inundation Boundary (02JUL2008 00 00 00 Value_0).tif
2004-06-22,4.395,864.1,Inundation Boundary (22JUN2004 00 00 00 Value_0).tif
2006-07-26,4.395,860.0,Inundation Boundary (26JUL2006 00 00 00 Value_0).tif
2007-09-09,4.415,1435.007,Inundation Boundary (09SEP2007 00 00 00 Value_0).tif
2002-08-18,4.42,1760.0,Inundation Boundary (18AUG2002 00 00 00 Value_0).tif
2006-08-27,4.45,2322.0,Inundation Boundary (27AUG2006 00 00 00 Value_0).tif
2001-08-23,4.48,2510.0,Inundation Boundary (23AUG2001 00 00 00 Value_0).tif
2010-09-13,4.5,1148.168,Inundation Boundary (13SEP2010 00 00 00 Value_0).tif
2012-09-19,4.5,1014.0,Inundation Boundary (19SEP2012 00 00 00 Value_0).tif
2011-08-05,4.5,1590.202,Inundation Boundary (05AUG2011 00 00 00 Value_0).tif
2003-08-22,4.505,1160.0,Inundation Boundary (22AUG2003 00 00 00 Value_0).tif
2005-08-14,4.51,1183.346,Inundation Boundary (14AUG2005 00 00 00 Value_0).tif
2001-08-13,4.53,996.6,Inundation Boundary (13AUG2001 00 00 00 Value_0).tif
2003-08-13,4.53,1639.0,Inundation Boundary (13AUG2003 00 00 00 Value_0).tif
2010-08-08,4.535,1150.082,Inundation Boundary (08AUG2010 00 00 00 Value_0).tif
2010-08-19,4.54,1187.095,Inundation Boundary (19AUG2010 00 00 00 Value_0).tif
2011-09-26,4.55,989.117,Inundation Boundary (26SEP2011 00 00 00 Value_0).tif
2007-09-11,4.56,1038.424,Inundation Boundary (11SEP2007 00 00 00 Value_0).tif
2011-08-26,4.565,1146.232,Inundation Boundary (26AUG2011 00 00 00 Value_0).tif
2011-07-31,4.57,1424.175,Inundation Boundary (31JUL2011 00 00 00 Value_0).tif
